region,departement,cas,lieu,latitude,longitude,couleur
Brazzaville,Brazzaville,31,Centre hospitalier universitaire,-4.2642, 15.2731,#ffd427ff
Pointe-noire,Pointe-Noire,12,Centres de santé,-4.727, 11.9531,orange
